100
1    ADD    NUCLEAR0
2    ADD    NUCLEAR1
3    ADD    NUCLEAR2
4    ADD    NUCLEAR3
5    ADD    NUCLEAR4
6    ADD    NUCLEAR5
7    ADD    NUCLEAR6
8    ADD    NUCLEAR7
9    ADD    NUCLEAR8
10    ADD    NUCLEAR9
11    ADD    NUCLEAR10
12    ADD    NUCLEAR11
13    ADD    NUCLEAR12
14    ADD    NUCLEAR13
15    ADD    NUCLEAR14
16    ADD    NUCLEAR15
17    ADD    NUCLEAR16
18    ADD    NUCLEAR17
19    ADD    NUCLEAR18
20    ADD    NUCLEAR19
21    ADD    NUCLEAR20
22    ADD    NUCLEAR21
23    ADD    NUCLEAR22
24    ADD    NUCLEAR23
25    ADD    NUCLEAR24
26    ADD    NUCLEAR25
27    ADD    NUCLEAR26
28    ADD    NUCLEAR27
29    ADD    NUCLEAR28
30    ADD    NUCLEAR29
31    ADD    NUCLEAR30
32    ADD    NUCLEAR31
33    ADD    NUCLEAR32
34    ADD    NUCLEAR33
35    ADD    NUCLEAR34
36    ADD    NUCLEAR35
37    ADD    NUCLEAR36
38    ADD    NUCLEAR37
39    ADD    NUCLEAR38
40    ADD    NUCLEAR39
41    ADD    NUCLEAR40
42    ADD    NUCLEAR41
43    ADD    NUCLEAR42
44    ADD    NUCLEAR43
45    ADD    NUCLEAR44
46    ADD    NUCLEAR45
47    ADD    NUCLEAR46
48    ADD    NUCLEAR47
49    ADD    NUCLEAR48
50    ADD    NUCLEAR49
51    ADD    NUCLEAR50
52    ADD    NUCLEAR51
53    ADD    NUCLEAR52
54    ADD    NUCLEAR53
55    ADD    NUCLEAR54
56    ADD    NUCLEAR55
57    ADD    NUCLEAR56
58    ADD    NUCLEAR57
59    ADD    NUCLEAR58
60    ADD    NUCLEAR59
61    ADD    NUCLEAR60
62    ADD    NUCLEAR61
63    ADD    NUCLEAR62
64    ADD    NUCLEAR63
65    ADD    NUCLEAR64
66    ADD    NUCLEAR65
67    ADD    NUCLEAR66
68    ADD    NUCLEAR67
69    ADD    NUCLEAR68
70    ADD    NUCLEAR69
71    ADD    NUCLEAR70
72    ADD    NUCLEAR71
73    ADD    NUCLEAR72
74    ADD    NUCLEAR73
75    ADD    NUCLEAR74
76    ADD    NUCLEAR75
77    ADD    NUCLEAR76
78    ADD    NUCLEAR77
79    ADD    NUCLEAR78
80    ADD    NUCLEAR79
81    ADD    NUCLEAR80
82    ADD    NUCLEAR81
83    ADD    NUCLEAR82
84    ADD    NUCLEAR83
85    ADD    NUCLEAR84
86    ADD    NUCLEAR85
87    ADD    NUCLEAR86
88    ADD    NUCLEAR87
89    ADD    NUCLEAR88
90    ADD    NUCLEAR89
91    ADD    NUCLEAR90
92    ADD    NUCLEAR91
93    ADD    NUCLEAR92
94    ADD    NUCLEAR93
95    ADD    NUCLEAR94
96    ADD    NUCLEAR95
97    ADD    NUCLEAR96
98    ADD    NUCLEAR97
99    ADD    NUCLEAR98
100    ADD    NUCLEAR99
