group	dataset	id	data_central	theory_central	rep_00001	rep_00002	rep_00003	rep_00004	rep_00005	rep_00006	rep_00007	rep_00008	rep_00009	rep_00010	rep_00011	rep_00012	rep_00013	rep_00014	rep_00015	rep_00016	rep_00017	rep_00018	rep_00019	rep_00020	rep_00021	rep_00022	rep_00023	rep_00024	rep_00025	rep_00026	rep_00027	rep_00028	rep_00029	rep_00030	rep_00031	rep_00032	rep_00033	rep_00034	rep_00035	rep_00036	rep_00037	rep_00038	rep_00039	rep_00040	rep_00041	rep_00042	rep_00043	rep_00044	rep_00045	rep_00046	rep_00047	rep_00048	rep_00049	rep_00050	rep_00051	rep_00052	rep_00053	rep_00054	rep_00055	rep_00056	rep_00057	rep_00058	rep_00059	rep_00060	rep_00061	rep_00062	rep_00063	rep_00064	rep_00065	rep_00066	rep_00067	rep_00068	rep_00069	rep_00070	rep_00071	rep_00072	rep_00073	rep_00074	rep_00075	rep_00076	rep_00077	rep_00078	rep_00079	rep_00080	rep_00081	rep_00082	rep_00083	rep_00084	rep_00085	rep_00086	rep_00087	rep_00088	rep_00089	rep_00090	rep_00091	rep_00092	rep_00093	rep_00094	rep_00095	rep_00096	rep_00097	rep_00098	rep_00099	rep_00100
NUCLEAR	DYE605_dw	10	34.9	31.258059	33.15927	30.202236	26.325008	29.197777	27.72678	31.160492	30.935635	33.97607	30.217579	30.512878	29.570635	29.001211	33.582867	33.598568	28.845974	31.215876	25.799683	27.671402	26.932693	33.515495	36.190865	33.140984	31.029398	26.25895	30.239922	31.446653	32.958786	31.712997	37.38626	32.71388	36.70664	32.906227	32.77694	31.319996	35.82008	31.85152	32.585255	32.900352	33.95005	32.00042	30.563469	34.25023	27.164803	26.195316	28.036861	31.838184	32.197403	30.20917	35.349255	33.436447	30.751139	32.767082	35.51068	31.21704	35.618927	27.866611	24.676083	32.120518	33.100803	29.495924	31.614521	28.180485	31.180174	25.002983	26.688232	32.585255	32.891838	34.491386	30.28722	28.382149	28.029625	28.1687	33.95874	29.023872	31.916128	34.590652	31.450386	27.261673	33.2789	28.520493	33.198837	35.228104	29.24375	32.705738	31.945711	32.979572	32.9402	30.672009	29.050755	30.375042	34.756924	28.971775	32.810066	31.516764	28.878258	34.548622	29.326193	36.395477	31.677517	29.67156
NUCLEAR	DYE605_dw	11	28.9	27.063993	28.725883	26.037464	22.51316	25.109558	23.699265	27.01807	27.029121	29.493956	26.370237	26.485184	25.501614	25.219168	29.124815	29.230673	24.922768	26.898108	22.215565	23.835588	23.084885	29.090897	31.574238	28.804092	26.878363	22.436165	26.104126	27.229343	28.843128	27.409103	32.931553	28.331903	32.00042	28.543999	28.301235	26.947933	31.233887	27.520802	28.240482	28.551014	29.78021	27.932972	26.406693	29.840582	23.353838	22.493458	24.06562	27.449476	28.09956	25.954712	30.605242	29.057281	26.617992	28.422443	30.864298	26.950079	30.93631	23.876135	21.052006	27.953274	28.446281	25.405085	27.301859	24.263142	27.00329	21.398476	22.895401	28.240482	28.488903	29.931583	26.246212	24.360306	24.047035	24.362669	29.534985	25.09697	27.692915	30.215012	27.184221	23.291069	29.125849	24.421017	28.77585	30.769627	25.323273	28.495804	27.684273	28.543339	28.451397	26.532478	24.961777	26.489378	30.461367	24.88217	28.360289	27.257664	24.964056	30.152039	25.12143	31.823868	27.507484	25.689274
NUCLEAR	DYE605_dw	12	27.4	23.446733	24.886295	22.463552	19.239014	21.59195	20.24953	23.503433	23.637001	25.61191	23.038332	22.998865	22.01113	21.948769	25.251019	25.447235	21.539669	23.19282	19.145699	20.536972	19.782688	25.25147	27.570892	25.058489	23.25035	19.175713	22.567814	23.604643	25.244335	23.701832	29.039104	24.55725	27.918377	24.770443	24.437305	23.18183	27.315285	23.77824	24.491127	24.765427	26.157597	24.39101	22.87862	26.016632	20.098076	19.34697	20.652699	23.672817	24.56059	22.291437	26.519615	25.263828	23.041176	24.658098	26.8279	23.267393	26.888546	20.479778	18.00539	24.34099	24.43644	21.92128	23.587826	20.931149	23.393597	18.308174	19.661707	24.491127	24.677502	25.995062	22.76279	20.901602	20.631344	21.063635	25.69223	21.705942	24.033035	26.424606	23.523647	19.905605	25.504726	20.905296	24.946812	26.90219	21.922483	24.837444	24.006655	24.703049	24.579813	22.952835	21.466782	23.136879	26.720978	21.394539	24.52742	23.582113	21.594032	26.324568	21.51368	27.842342	23.895779	22.250334
NUCLEAR	DYE605_dw	13	16.2	17.675463	18.710155	16.77631	14.083958	16.001535	14.807595	17.97688	18.23239	19.386095	17.741785	17.43979	16.481157	16.766802	19.013546	19.381966	16.188694	17.300926	14.329046	15.317953	14.563713	19.084202	21.125847	19.04597	17.525867	14.075535	16.979553	17.817078	19.450027	17.80376	22.72076	18.497602	21.304398	18.711723	18.22591	17.154945	21.088535	17.776405	18.508934	18.712776	20.313477	18.672504	17.349264	19.850124	14.991056	14.428444	15.233248	17.670189	18.893806	16.448042	19.936909	19.141224	17.316328	18.61828	20.29258	17.386248	20.347954	15.167258	13.3273945	18.532482	18.037945	16.447094	17.662285	15.699543	17.602682	13.44003	14.603146	18.508934	18.557865	19.668186	17.245575	15.386044	15.211346	15.802475	19.476646	16.320831	18.155807	20.306492	17.710762	14.5748205	19.64348	15.334895	18.807507	20.679497	16.488539	18.945435	18.147406	18.535889	18.395164	17.209139	15.941216	17.831057	20.665897	15.913491	18.40324	17.70375	16.23645	20.135588	15.84403	21.380909	18.093603	16.764841
NUCLEAR	DYE605_dw	14	10.7	10.185999	10.5810375	9.475777	7.567347	8.823565	7.9510856	11.034932	11.098053	11.2037525	10.781864	10.120869	9.408898	10.0407715	10.777439	11.412825	9.3061075	9.751076	8.257336	8.657972	7.9477434	10.959699	12.599859	11.16354	10.132566	7.7195554	9.877663	10.317324	11.670901	10.193977	14.170374	10.618521	12.491214	10.758619	10.111994	9.35567	13.197767	9.936613	10.742945	10.756994	12.484932	11.03805	10.459267	11.675856	8.578192	8.2994995	8.310677	9.957477	11.440919	8.924261	11.35795	11.041787	9.832409	10.687832	11.599385	9.758542	11.704435	8.569494	7.775656	10.88059	9.789946	9.57373	9.98316	9.168108	10.027441	7.286835	8.263231	10.742945	10.526095	11.374066	10.112922	8.294208	8.310083	8.952538	11.206316	9.336606	10.417683	12.18702	10.291193	7.913726	11.7699375	8.264778	10.74493	12.433897	9.364024	11.133667	10.544422	10.460287	10.379932	9.691977	8.932821	10.954611	12.534642	9.013903	10.480513	10.060997	9.334455	11.867384	8.721001	12.697531	10.464123	9.6409
NUCLEAR	DYE605_dw	15	3.57	4.644241	4.488573	4.2191925	3.0179007	3.6755826	3.2329001	5.9041204	5.4680543	5.0219345	5.300803	4.454601	4.2892528	4.9321966	4.599229	5.3679104	4.238613	4.3242264	3.9076507	3.883199	3.326913	4.8395777	6.077574	5.236392	4.680137	3.343163	4.731445	4.7697573	5.4943037	4.616737	7.307588	4.883902	5.7319527	4.789345	4.1705346	3.7493443	7.3671536	4.1540203	5.0005693	4.7540436	6.279994	5.1087995	5.531101	5.4251547	4.031797	3.9240172	3.419207	4.387372	5.657666	3.5610921	5.142597	4.914817	4.2626925	4.752275	5.002803	4.1896048	5.1872826	4.0378904	4.1728024	5.1122427	3.9070053	4.6573896	4.3453035	4.582709	4.3983607	2.9778216	3.7469585	5.0005693	4.5292253	5.1778564	4.749279	3.2470288	3.459331	3.8940911	4.897421	4.149111	4.565123	5.9264703	5.001131	3.383665	5.5681314	3.3457437	4.6761417	6.062891	4.000172	5.1604433	4.8943014	4.505739	4.528873	4.116663	3.9560103	5.700733	6.1026444	4.0577574	4.730488	4.4314413	4.286934	5.4639645	3.7849884	5.9025173	4.7257605	4.3742785
NUCLEAR	DYE605_dw	16	1.7	1.7835147	1.4422152	1.6548474	0.95720774	1.2404332	1.1406324	2.7163694	2.1466339	1.7910588	2.0532386	1.4311912	1.7057457	2.0713737	1.526567	2.1115854	1.6197696	1.6532972	1.6236935	1.5032305	1.2172806	1.714897	2.5436468	2.1004648	1.8601031	1.3029454	2.000767	1.8968875	2.0088077	1.7505175	3.2854104	2.036637	2.1794462	1.7209499	1.3383391	1.1715397	3.2827604	1.3317683	2.0480251	1.6541083	2.7380176	1.8910655	2.6494842	2.1061614	1.6805766	1.5622574	1.1653966	1.6522217	2.2968054	1.1235418	2.1327295	1.7615458	1.4585745	1.7505152	1.6723143	1.477163	1.864038	1.8321027	2.1584864	2.100607	1.2520821	1.9886672	1.5770777	2.1394558	1.5686307	0.9875185	1.4353654	2.0480251	1.5352489	2.009189	1.8299425	0.9667344	1.236239	1.3778757	1.6618452	1.5158665	1.5286214	2.4808638	2.3100638	1.3389153	2.114862	1.146126	1.5803909	2.5217373	1.2680374	1.9989522	1.9341133	1.6330433	1.6553768	1.36351	1.5713617	2.639066	2.4203405	1.4467841	1.9227102	1.6036922	1.6848	2.029859	1.4635357	2.2060122	1.7659018	1.6850053
NUCLEAR	DYE605_dw	17	399.0	410.87198	413.71863	410.4197	397.89203	409.4256	408.67322	427.4864	403.83292	431.32617	401.2489	412.8188	415.77692	393.4886	412.50427	417.74567	406.47586	425.3155	378.81876	389.46625	389.3398	417.22775	437.5026	414.20923	438.32568	412.6521	421.523	410.6343	405.98755	423.97287	408.36707	410.40915	425.66	410.7049	412.80643	411.20715	437.43546	409.7442	425.95587	426.16626	406.41666	380.2036	433.55865	412.42395	404.36584	398.43372	387.32117	434.74728	398.37445	408.2989	429.90045	404.37204	400.03064	414.41052	414.42905	412.8626	425.8804	427.35614	410.17938	394.6506	448.84546	425.2279	426.3907	406.58157	394.42007	377.21295	417.1878	425.95587	416.38586	429.56146	419.75153	387.30328	393.37988	374.91803	402.13745	405.9168	402.59558	406.9345	423.4941	404.77118	385.00052	406.15262	428.24426	423.33124	390.32257	397.06473	421.21472	414.89368	427.91888	389.36536	410.9159	414.2746	397.83145	424.71002	425.54987	407.57834	390.51205	404.2163	433.72336	414.49634	393.4911	392.93307
NUCLEAR	DYE605_dw	18	315.0	352.51917	355.76782	352.12485	339.7463	350.10016	349.4643	367.37958	345.51404	370.62927	343.3887	354.0771	356.47772	335.87988	354.24615	358.59332	347.2788	364.94543	323.59076	332.7381	332.79257	358.34674	376.23514	356.02255	374.30255	353.4607	361.37106	353.00592	347.11652	363.58826	351.84808	353.28247	367.2134	353.12305	355.31567	353.61868	377.08746	352.0241	365.79288	364.79987	349.47968	326.6435	371.77966	354.67316	345.49707	340.03687	332.0585	373.01132	342.4944	350.64987	371.00458	347.90897	342.87067	355.7633	357.27588	354.07672	367.5785	365.60913	349.6197	338.877	385.6975	364.5669	365.74255	348.1606	339.18344	321.73694	355.58588	365.79288	357.96295	369.8349	359.11853	332.6435	337.54904	320.43207	346.41208	347.36267	345.64102	350.5658	362.91486	346.33047	330.97433	347.7126	367.87076	364.0979	334.46155	340.94788	361.3629	356.50125	367.81287	334.7348	352.3875	353.94476	342.35052	363.5304	365.7199	350.2683	334.231	347.6986	371.3709	357.12958	338.064	336.3219
NUCLEAR	DYE605_dw	19	277.0	302.38464	305.9753	302.03943	289.8488	299.32803	298.6913	315.534	295.4268	318.38232	293.68793	303.4382	305.41644	286.59122	304.31683	307.85327	296.5385	313.05103	276.20343	284.19977	284.35947	307.79272	323.5491	306.0284	318.98975	302.31793	309.64777	303.39078	296.81393	311.70325	303.2644	304.12885	316.90793	303.6432	305.90216	304.07324	325.07782	302.44257	313.99417	312.1568	300.47604	280.7141	318.60144	305.09406	294.96704	290.03287	284.6247	319.87753	294.43036	301.06598	320.26178	299.4521	293.88672	305.41718	308.16595	303.63147	317.32135	312.45898	297.66803	291.0573	331.26657	312.30984	313.6286	297.97852	291.67334	274.2685	302.8241	313.99417	307.7082	318.40817	307.031	285.60764	289.49515	273.86456	298.5137	297.0577	296.7543	302.07132	310.94952	296.20197	284.66455	297.61703	315.8988	313.15863	286.43643	292.83008	309.89	306.36154	316.08948	287.77628	302.05444	302.16095	294.7318	310.97333	314.25015	300.96582	286.03152	299.21405	317.6109	307.8562	290.49518	287.87323
