	central_mean	npoints	chi2_per_data	perreplica_mean	perreplica_std	group
0	1275.8599010239814	1445	0.8829480283902985	1319.5231914191872	42.30323592364079	NUCLEAR
1	262.64600047358977	248	1.0590564535225393	263.6014472657341	3.0938753171892626	BCDMSD_dw_30
2	104.79141462088154	121	0.8660447489329053	105.29758374915974	1.0412624762594018	NMCPD_dw_30
3	16.11217846477171	34	0.47388760190505025	16.68098432614669	1.1737854323430896	SLACD_dw_30
4	10.916310461516751	39	0.27990539644914747	11.871105565842374	1.996210187062497	NTVNUDMNFe_dw_30
5	17.21386676766288	37	0.46523964236926696	18.18012682409135	2.10767759679419	NTVNBDMNFe_dw_30
6	397.04747002883477	416	0.9544410337231605	399.2114302288233	3.086446506369669	CHORUSNUPb_dw_30
7	337.89199618509303	416	0.8122403754449352	342.31077754359796	4.321929045010155	CHORUSNBPb_dw_30
8	5.071998952411164	15	0.3381332634940776	5.234082481764257	0.32177640346803604	DYE886R_dw_30
9	78.16890016072105	119	0.6568815139556391	96.74016477649653	23.027991162315598	DYE605_dw_30
