	central_mean	npoints	chi2_per_data	perreplica_mean	perreplica_std	group
0	1284.8818780784318	1445	0.8891916111269424	1348.7563134398922	53.69602644420747	NUCLEAR
1	251.16169510164167	248	1.0127487705711358	252.2607246556579	3.5906080788102837	BCDMSD_sh_30
2	110.17361558103741	121	0.9105257486036149	110.74680887900092	1.174460400694905	NMCPD_sh_30
3	15.599805771359403	34	0.4588178168046883	16.197575887688643	1.0783144232884678	SLACD_sh_30
4	9.895676076025357	39	0.25373528400065015	11.298397274277802	1.7169534010510294	NTVNUDMNFe_sh_30
5	16.47194277735902	37	0.4451876426313248	17.66500190756269	1.755972620946457	NTVNBDMNFe_sh_30
6	390.6096478748083	416	0.9389654996990584	393.0220517001903	3.2771735645941713	CHORUSNUPb_sh_30
7	328.243439037747	416	0.7890467284561227	333.6892338209266	4.511460856302464	CHORUSNBPb_sh_30
8	7.868365245112729	15	0.5245576830075153	8.044579085878798	0.7062610816177832	DYE886R_sh_30
9	77.99467038243708	119	0.6554173981717402	114.20834616542446	44.77582365919758	DYE605_sh_30
